service_id,date,exception_type
"T0","20220106","2"
"T0","20220415","2"
"T0","20220418","2"
"T0","20220526","2"
"T0","20220606","2"
"T0","20220616","2"
"T0","20221003","2"
"T0","20221101","2"
"T0+2x","20211223","2"
"T0+2x","20211227","2"
"T0+2x","20211228","2"
"T0+2x","20211229","2"
"T0+2x","20211230","2"
"T0+2x","20220103","2"
"T0+2x","20220104","2"
"T0+2x","20220105","2"
"T0+2x","20220106","2"
"T0+2x","20220228","2"
"T0+2x","20220301","2"
"T0+2x","20220302","2"
"T0+2x","20220303","2"
"T0+2x","20220414","2"
"T0+2x","20220418","2"
"T0+2x","20220419","2"
"T0+2x","20220420","2"
"T0+2x","20220421","2"
"T0+2x","20220526","2"
"T0+2x","20220606","2"
"T0+2x","20220607","2"
"T0+2x","20220608","2"
"T0+2x","20220609","2"
"T0+2x","20220613","2"
"T0+2x","20220614","2"
"T0+2x","20220615","2"
"T0+2x","20220616","2"
"T0+2x","20220728","2"
"T0+2x","20220801","2"
"T0+2x","20220802","2"
"T0+2x","20220803","2"
"T0+2x","20220804","2"
"T0+2x","20220808","2"
"T0+2x","20220809","2"
"T0+2x","20220810","2"
"T0+2x","20220811","2"
"T0+2x","20220815","2"
"T0+2x","20220816","2"
"T0+2x","20220817","2"
"T0+2x","20220818","2"
"T0+2x","20220822","2"
"T0+2x","20220823","2"
"T0+2x","20220824","2"
"T0+2x","20220825","2"
"T0+2x","20220829","2"
"T0+2x","20220830","2"
"T0+2x","20220831","2"
"T0+2x","20220901","2"
"T0+2x","20220905","2"
"T0+2x","20220906","2"
"T0+2x","20220907","2"
"T0+2x","20220908","2"
"T0+2x","20221003","2"
"T0+2x","20221031","2"
"T0+2x","20221101","2"
"T0+2x","20221102","2"
"T0+2x","20221103","2"
"T0+3g","20211217","2"
"T0+3g","20211231","2"
"T0+3g","20220107","2"
"T0+3g","20220114","2"
"T0+3g","20220121","2"
"T0+3g","20220128","2"
"T0+3g","20220204","2"
"T0+3g","20220211","2"
"T0+3g","20220218","2"
